rownames(TME)	B_cells_naive_CIBERSORT	Plasma_cells_CIBERSORT	T_cells_CD8_CIBERSORT	T_cells_CD4_memory_resting_CIBERSORT	T_cells_CD4_memory_activated_CIBERSORT	T_cells_follicular_helper_CIBERSORT	T_cells_regulatory_.Tregs._CIBERSORT	NK_cells_resting_CIBERSORT	NK_cells_activated_CIBERSORT	Monocytes_CIBERSORT	Macrophages_M0_CIBERSORT	Macrophages_M1_CIBERSORT	Macrophages_M2_CIBERSORT	Dendritic_cells_resting_CIBERSORT	Dendritic_cells_activated_CIBERSORT	Mast_cells_resting_CIBERSORT	Mast_cells_activated_CIBERSORT	Neutrophils_CIBERSORT
TCGA.D8.A1X5.01A	TCGA.D8.A1X5.01A	0.0277710402080538	0.141211491503018	0.0111176581767151	0.147052938619473	0.00457919817676898	0.0027974903808049	0.0186368437818488	0	0.0151260458840222	0.147846219938659	0.0202266345417356	0.0776395726285375	0.302024612504707	0.0168968749604251	0	0.0599932102028387	0	0.00708016849239262
TCGA.06.0211.01B	TCGA.06.0211.01B	0.00107770718064173	0.00394880963353141	0.0169836136329962	0.106319680478657	0	0.0108272460295782	0.00989779316645292	0.0788305621828566	0.0210587761089864	0.0238037923919232	0.306326698217127	0.0163278320571916	0.373954127482632	0	0	0.00707144794866473	0	0.0197406724519241
TCGA.06.0130.01A	TCGA.06.0130.01A	0.00719597647151661	0	0.0209173425168284	0.14471677842614	0	0.000520800657219035	0	0	0.0579073169573507	0.19196452107013	0	0.115812631168978	0.448362576441204	0.00392009811896306	0	0.0010548028771435	0	0.00302630647813514
TCGA.06.0132.01A	TCGA.06.0132.01A	0.0212342143921501	0	0.0187218635750851	0.0845760570245316	0	0	0.0018246394048376	0	0.0129059648959492	0.338495381004659	0	0.026037719735142	0.459572434647823	0	0	0	0.0324619227759882	0.00416980254383389
TCGA.06.0139.01A	TCGA.06.0139.01A	0.00848805799283504	0.0102994979632697	0.0490475762435681	0.0265036252385424	0	0.0411996960620528	0.0169664091514647	0	0.0506735602135309	0.182407681430508	0.0712339609728107	0.0459329305927216	0.41930186830861	0.0057481481781694	0	0	0.0166544395078163	0.0555425481441008
TCGA.IC.A6RF.01A	TCGA.IC.A6RF.01A	0.20028358370643	0.0917968444029531	0.00441478501512574	0.0647029082666454	0.0925403269241886	0.0209662598986452	0.0159854721343147	0.0422615294434073	0	0.0043688803870677	0.175152181467623	0.15759743714143	0.00103879124334356	0	0.0623846280292861	0.0174580796477983	0	0.0155455058940303
TCGA.A8.A08J.01A	TCGA.A8.A08J.01A	0	0.126822452863299	0	0.00603522701568799	0	0	0.0429371477844097	0.010196456589843	0	0	0.360588396650242	0.0557987677903144	0.279512826046344	0	0	0.0914550418737173	0	0
TCGA.LD.A9QF.01A	TCGA.LD.A9QF.01A	0.0123169058023153	0.0184192034061017	0.124288500941714	0.0697709431628191	0	0.029761153253297	0.0777926339808209	0	0.0228387066199104	0	0.442958046776261	0.0690926520383629	0.0803848315494462	0.00566335892185864	0	0.0351770738047339	0	0
TCGA.BH.A209.01A	TCGA.BH.A209.01A	0.0988810752047385	0.0614205183903904	0.147749427755496	0.182728517801248	0.050218104104051	0	0	0.003544340880729	0.0157645108865395	0.0075361344966747	0.0843340286416345	0.137471452627418	0.109565203009262	0.0164122423331377	0	0.0833951873816645	0	0.00097925648701604
TCGA.E2.A14S.01A	TCGA.E2.A14S.01A	0.0637280867272578	0.0523433688243059	0.0386470757683639	0.187233620099924	0	0.0104494064532781	0.0283252433252531	0.0153330577376669	0.00481479050407628	0.0523197606081034	0.191375979340337	0.0530980742704665	0.275322085210594	0	0	0.0249509943245904	0.00205845680578261	0
TCGA.BH.A0B4.01A	TCGA.BH.A0B4.01A	0.0532679809805521	0	0.0457520467674511	0.238171239359621	0	0	0.0393775381427619	0	0.0768925519282696	0.00106550467813335	0.1142710459388	0.137078772142971	0.121717267422691	0.0106317583962556	0	0.161774294242494	0	0
TCGA.EW.A1P8.01A	TCGA.EW.A1P8.01A	0.0123300113235143	0	0.0516608155569139	0.143589007184569	0.0104535783073944	0.0552268816065322	0.00821642702162616	0	0	0.0202245850983109	0.134609742636748	0.075534085147994	0.258196406153686	0.11634665261902	0	0	0.109033986003461	0.00457782134022924
TCGA.C8.A12Q.01A	TCGA.C8.A12Q.01A	0.0437130283615964	0.0263520245454032	0.00338044006169073	0.11696861057837	0	0.0438168691741929	0.00162675407802482	0	0.0383152092410741	0	0.385862400465191	0.0796044586169721	0.183518770395956	0	0	0.0710051177595254	0	0
TCGA.XX.A89A.01A	TCGA.XX.A89A.01A	0.0643222007378215	0.105316811604506	0.0303295612934865	0.264164139387827	0.000984625321127907	0	0.00739484836221531	0.000213178992725594	0.00111552055617166	0.0102552376144052	0.12600534772019	0.117704866579429	0.20851392202222	0	0	0.0636797398078748	0	0
TCGA.E9.A5UO.01A	TCGA.E9.A5UO.01A	0.00346379323955292	0.202672720386371	0	0.0656097831307128	0	0.0126865278220506	0.0698211956514501	0.0999805863601872	0	0.0149548803787677	0.331677431905551	0.0113839396815046	0.0991688397270928	0.00159559290879862	0	0.0790648007274796	0	0
TCGA.B6.A0WY.01A	TCGA.B6.A0WY.01A	0.0654574761268192	0.0410508488971781	0.053355110780811	0.133892976401298	0	0.0349526892213748	0.0482884520845652	0	0.0194754466977117	0	0.202478594353132	0.156065257941415	0.150870482980991	0.00940344180972626	0	0.0847092227049773	0	0
TCGA.E9.A1N6.01A	TCGA.E9.A1N6.01A	0.00313654777201784	0.00905932109419609	0.0327121596965311	0.0440847575443597	0.00885890808757098	0.0261627761765108	0.0405166611732133	0.0212434274539927	0	0	0.501470510511672	0.00995640074443477	0.251924865136575	0	0.00498094300723359	0.0395988468681936	0.00629387473349835	0
TCGA.E2.A15I.01A	TCGA.E2.A15I.01A	0.121093850932764	0.0595998807256528	0.128394860268659	0.243559025370389	0.00391503711879318	0.0143609004877594	0.00114137149177458	0	0.00568268485668409	0	0.14936285600068	0.0969031399659292	0.115755605588914	0.0036351419950704	0	0.0565956451969304	0	0
TCGA.L5.A4OO.01A	TCGA.L5.A4OO.01A	0.0780234415033104	0.128954419653769	0.118952349221407	0.260592714208814	0.0913958315612439	0	0	0.0379870024751736	0.000664387717732995	0.0115869761280621	0.0131149312547406	0.112076602809367	0.0833133952377353	0	0.0115388529196975	0.0513749485672908	0	0.000424146741656223
TCGA.L5.A8NL.01A	TCGA.L5.A8NL.01A	0.0423494084848817	2.61499686252332e-05	0.000730637603650479	0.247499625977902	0.00179058632420535	0	0.0249334554336353	0.050267408190379	0	0.0437976590881895	0.223385593845607	0.00647542521488015	0.222199412019188	0	0.039118039077527	0.0648241836517733	0.0239585441303601	0.00864387098919613
TCGA.2H.A9GI.01A	TCGA.2H.A9GI.01A	0.0561944445241902	0.367233920731557	0.018372045393212	0.260165049752337	0.0236463454192886	0	0.0692913496821825	0.0431303238557184	0	0.00392516543627134	0.0512345493366956	0.00423904130725368	0.0355837920928242	0	0.0334144031921099	0	0.0277395726629592	0.00582999661340098
TCGA.IG.A97H.01A	TCGA.IG.A97H.01A	0	0	0.0069179836694471	0.237062025043712	0	0	0	0.00288777924483808	0.016449892402092	0	0.340723162930786	0.0125066565960565	0.131890537776408	0	0.0859497611173177	0	0.158709043451455	0.00690315776788731
TCGA.LN.A4A9.01A	TCGA.LN.A4A9.01A	0	0	0.0814146796404251	0.208985098673953	0.0545042810562137	0.00656451769221877	0.0287790392922966	0.0517420508768248	0.0363615441581449	0.00180535540004557	0.127183744791707	0.0931878433266347	0.15181449296114	0.0645209096334429	0.0454939595264987	0.00963539342187472	0.0380070895485798	0
TCGA.LN.A4MR.01A	TCGA.LN.A4MR.01A	0.0116998866637727	0.00484087708852596	0.085453965532118	0.104088015011875	0.118843925106748	0.0326088719106591	0	0.0316199554569007	0.0219729091678175	0	0.30563882273703	0.121560802101716	0.0793136925183069	0	0.00721351376501646	0	0.0709700544099206	0.00417470852959199
TCGA.E2.A109.01A	TCGA.E2.A109.01A	0.0949819189974752	0.136141712300863	0.0283609708032825	0.224971168004925	0	0	0.041824685598463	0	0.0385663337316924	0	0.171497395258985	0.0843382629630207	0.124433522508598	0	0	0.0548840298326959	0	0
TCGA.A8.A06R.01A	TCGA.A8.A06R.01A	0.0453050772403291	0.260767313466146	0.00442336038356606	0.0855273897094662	0	0.0302837548626233	0.0149795831505258	0	0.0400458934002621	0	0.231040337122821	0.10746759853114	0.121790692283037	0.00407301860306841	0	0.0520519936835536	0	0
TCGA.B6.A0RH.01A	TCGA.B6.A0RH.01A	0.00832130571101345	0.24887109953238	0	0.109043091796191	0	0.0640697449380862	0.00399347515153207	0.0105558435674071	0.0124297546519649	0	0.212224059932144	0.145846838991364	0.0805642008284733	0	0.0171669368249101	0.0859048273689855	0	0
TCGA.E9.A3QA.01A	TCGA.E9.A3QA.01A	0.046334982335847	0.0392101868874206	0.00579602277197143	0.179109929519854	0.0858796373933899	0.0127057224741711	0.0249216141581154	0.0304717206165334	0	0	0.162977777511743	0.253788687680151	0.103691201682335	0	0.0362877416897777	0.0163450938833425	0	0.00247968139534794
TCGA.GM.A2DA.01A	TCGA.GM.A2DA.01A	0.100804540020023	0.10031733584113	0.187735346188277	0.240433321268361	0	0.00639794947955869	0.0411060648121835	0	0.0545003081363516	0.0169918448274707	0.0141996864647444	0.101814977995485	0.0319958899962466	0.00915412260487724	0	0.0945486123652908	0	0
TCGA.EW.A1IZ.01A	TCGA.EW.A1IZ.01A	0.0493611962957937	0.0802462967631903	0.350189554829527	0.00456825793667245	0.0183030212035019	0.00639022358332523	0.040029157416466	0	0.152577932905234	0.00435949842724497	0.0501806338279683	0.10044639654832	0.045051149583711	0.0129786438883827	0	0.0821521867298146	0	0
TCGA.AR.A0TX.01A	TCGA.AR.A0TX.01A	0.0498457730820102	0.0885690599698389	0.0459586057340529	0.237480230060475	0.0135218585662423	0.0256472370638518	0.0122954053131437	0	0.0796961363328976	0.00495370287845784	0.0738538844762822	0.0876904194839117	0.169843773603155	0.0300923398624405	0	0.0805515735732407	0	0
TCGA.A1.A0SD.01A	TCGA.A1.A0SD.01A	0.0906838833499549	0.0611228111749597	0.00583845749839126	0.244499628612175	0	0.0309321963589497	0.000694389324970072	0	0.0206600121790374	0	0.108338551365077	0.190444596813348	0.142370573774053	0	0	0.104414899549083	0	0
TCGA.AC.A3OD.01A	TCGA.AC.A3OD.01A	0.0801498631230574	0.0436293226393547	0.0246900442820599	0.303008620909065	0.0143515775682403	0	0	0.00788620855642067	0	0.0164439087876244	0.0851818091580787	0.0760657367106905	0.221263152936697	0.0625071100381288	0	0.0510544755086832	0	0
TCGA.A2.A0SU.01A	TCGA.A2.A0SU.01A	0.0577618022460719	0	0.0378251829691695	0.227179126387736	0.00572038830736792	0	0.0250372829763569	0.0210870962635609	0	0	0.199646078080777	0.13806123018795	0.0739081954566313	0.0666994471288897	0	0.147074169995489	0	0
TCGA.A2.A0CX.01A	TCGA.A2.A0CX.01A	0.00727916945750309	0	0.017124646853	0.244090510564989	0.00634544717079076	0	0.0394314039967591	0.00676714087809906	0	0	0.298469848797488	0.0782245345233508	0.225189924613115	0	0	0.0770773731449054	0	0
TCGA.AC.A23G.01A	TCGA.AC.A23G.01A	0.0176721807016852	1.89813238285641e-05	0.0599546614632923	0.070085331733883	0	0	0.0113514118046582	0	0.0267440968110996	0.00900752981968874	0.535711874022815	0.0281514258734025	0.155483034331585	0.0094104697406134	0	0.0764090023734481	0	0
TCGA.GM.A2DL.01A	TCGA.GM.A2DL.01A	0.0116441182144825	0.0432276091854596	0.0170127244429679	0.163982221596925	7.52873122443988e-05	0.00777782226140171	0.00802614104038342	0	0.0284794016799983	0.0131148177300732	0.141377119101552	0.056765097042163	0.339163042037698	0.0476461747390402	0.0301641240366978	0.0892044027163488	0	0.00233989686256365
TCGA.AR.A1AT.01A	TCGA.AR.A1AT.01A	0.0520017871048451	0.051303884362012	0.125447942549605	0.165705932795086	0.00677590435784245	0.000440890158861826	0.0160929751355103	0.0196810078238461	0.0312750263911334	0.00305619669064019	0.155902596235165	0.105535502994135	0.215131786796708	0.0049538369080198	0	0.0466947296965887	0	0
